case_number,0x_weight,0x_length,0x_headspace,0x_neck_thick,0x_neck_dia,0x_capacity,0x_resized_length,0x_resized_headspace,1x_weight,1x_length,1x_headspace,1x_neck_dia,1x_capacity,1x_resized_length,1x_resized_headspace,2x_weight,2x_length,2x_headspace,2x_neck_dia,2x_capacity,2x_resized_length,2x_resized_headspace,3x_weight,3x_length,3x_headspace,3x_neck_dia,3x_capacity,3x_resized_length,3x_resized_headspace,3x_primer_depth,trim_weight,trim_length,trim_case_depth,trim_primer_depth
1,169.4600,1.9115,1.5540,0.1400,0.2900,,1.9125,1.5540,169.4320,1.9120,1.5580,0.2920,48.9200,1.9125,1.5540,,1.9145,1.5595,0.2920,,1.9150,1.5565,169.3400,1.9160,1.5585,0.2920,49.2080,1.9180,1.5565,0.1170,168.7224,1.9100,1.7285,0.1170
2,169.5400,1.9110,1.5535,0.1400,0.2900,,1.9105,1.5535,169.5250,1.9105,1.5595,0.2920,48.8300,1.9105,1.5535,,1.9115,1.5600,0.2930,,1.9130,1.5565,169.4320,1.9135,1.5590,0.2920,49.2640,1.9150,1.5565,0.1165,168.7224,1.9105,1.7285,0.1170
3,168.6400,1.9110,1.5525,0.1400,0.2900,,1.9100,1.5520,168.6300,1.9090,1.5595,0.2920,48.9600,1.9100,1.5520,,1.9120,1.5600,0.2920,,1.9130,1.5555,168.5370,1.9145,1.5585,0.2925,49.3020,1.9140,1.5565,0.1155,169.1854,1.9100,1.7285,0.1170
4,169.3400,1.9110,1.5530,0.1400,0.2900,,1.9120,1.5520,169.2930,1.9110,1.5595,0.2920,48.9000,1.9120,1.5520,,1.9135,1.5595,0.2920,,1.9155,1.5550,169.2320,1.9165,1.5590,0.2920,49.1900,1.9170,1.5565,0.1170,168.8150,1.9105,1.7295,0.1170
5,169.0200,1.9110,1.5530,0.1400,0.2900,,1.9115,1.5520,168.9850,1.9100,1.5600,0.2920,49.0700,1.9115,1.5520,,1.9100,1.5605,0.2920,,1.9120,1.5550,168.9000,1.9120,1.5600,0.2925,49.1240,1.9135,1.5565,0.1150,168.8459,1.9095,1.7295,0.1180
6,169.4600,1.9115,1.5530,0.1400,0.2900,,1.9100,1.5520,169.4480,1.9105,1.5600,0.2920,48.9900,1.9100,1.5520,,1.9130,1.5595,0.2920,,1.9150,1.5555,169.3630,1.9145,1.5595,0.2920,49.2180,1.9155,1.5565,0.1140,168.7533,1.9095,1.7285,0.1180
7,169.3000,1.9095,1.5530,0.1400,0.2900,,1.9120,1.5520,169.2780,1.9080,1.5595,0.2920,49.0900,1.9120,1.5520,,1.9115,1.5590,0.2920,,1.9125,1.5555,169.1850,1.9125,1.5595,0.2925,49.1620,1.9140,1.5565,0.1160,169.0465,1.9100,1.7285,0.1175
8,168.6600,1.9110,1.5530,0.1400,0.2900,,1.9110,1.5520,168.6450,1.9110,1.5600,0.2920,49.2900,1.9110,1.5520,,1.9130,1.5590,0.2920,,1.9150,1.5550,168.5600,1.9140,1.5600,0.2920,49.2360,1.9160,1.5565,0.1140,169.1545,1.9100,1.7285,0.1180
9,169.5800,1.9110,1.5540,0.1400,0.2900,,1.9115,1.5520,169.5560,1.9100,1.5600,0.2920,49.1100,1.9115,1.5520,,1.9100,1.5610,0.2920,,1.9120,1.5550,169.4790,1.9110,1.5600,0.2920,49.1240,1.9125,1.5565,0.1140,168.9539,1.9100,1.7285,0.1175
10,169.1200,1.9115,1.5525,0.1400,0.2900,,1.9135,1.5520,169.0620,1.9105,1.5600,0.2920,49.2900,1.9135,1.5520,,1.9140,1.5595,0.2920,,1.9160,1.5555,168.9850,1.9160,1.5590,0.2920,49.2180,1.9175,1.5565,0.1170,169.7255,1.9100,1.7270,0.1175
