ShotMarker Archived Data (generated Feb 19 2020)
Exported 205 strings from Jan 21 to Feb 18 of 1981 total in archive


Feb 15 2020,Higgins open 2,14,600y,210-4X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,9:49:30 am,S1,sighter,8,-129,-166,-5.08,-6.54,-0.81,-1.04,-0.24,-0.31,580,1903,0.1,-2.5,10,
,9:49:59 am,S2,sighter,X,-21,-10,-0.83,-0.39,-0.13,-0.06,-0.04,-0.02,577,1893,-0.5,-2.4,2.6,
,9:50:26 am,1,,9,133,14,5.24,0.55,0.83,0.09,0.25,0.03,569.9,1870,-3,-1.9,18.3,
,9:50:46 am,2,,10,-43,19,-1.7,0.73,-0.27,0.12,-0.08,0.03,577.5,1895,-0.7,-2.4,1.5,
,9:51:04 am,3,,10,-58,-46,-2.3,-1.8,-0.37,-0.29,-0.11,-0.08,577.7,1895,-0.7,-2.4,2.8,
,9:51:23 am,4,,10,-77,-6,-3.04,-0.25,-0.48,-0.04,-0.14,-0.01,579.6,1902,-0.4,-2.5,4.3,
,9:51:42 am,5,,9,-47,75,-1.86,2.94,-0.3,0.47,-0.09,0.14,571.8,1876,-0.9,-2.1,1.1,
,9:52:21 am,6,,X,-3,30,-0.12,1.18,-0.02,0.19,-0.01,0.06,577.4,1894,-1.3,-2.2,5.1,
,9:52:39 am,7,,10,-46,29,-1.82,1.14,-0.29,0.18,-0.09,0.05,576.1,1890,-0.9,-2.4,3.1,
,9:52:58 am,8,,9,-111,8,-4.36,0.31,-0.69,0.05,-0.21,0.01,577.4,1894,-0.5,-2.3,5.8,
,9:53:17 am,9,,9,-86,-24,-3.4,-0.94,-0.54,-0.15,-0.16,-0.04,570.3,1871,-0.3,-2.4,6.3,
,9:53:33 am,10,,10,-55,-16,-2.15,-0.62,-0.34,-0.1,-0.1,-0.03,584.8,1919,-0.4,-2.4,2.8,
,9:53:52 am,11,,X,-19,-1,-0.76,-0.06,-0.12,-0.01,-0.04,0,574.7,1885,-0.7,-2,0.4,
,9:54:07 am,12,,9,-24,-77,-0.96,-3.02,-0.15,-0.48,-0.05,-0.14,576,1890,-1.1,-2.4,0.6,
,9:54:23 am,13,,10,-27,40,-1.07,1.59,-0.17,0.25,-0.05,0.07,580.8,1906,-1,-2.2,0.4,
,9:54:34 am,14,,10,-2,-45,-0.08,-1.78,-0.01,-0.28,0,-0.08,573.5,1882,-1.3,-2.5,2.1,
,9:54:49 am,15,,9,20,-85,0.79,-3.36,0.13,-0.54,0.04,-0.16,573.2,1881,-0.9,-2.4,0.8,
,9:55:03 am,16,,9,74,43,2.91,1.7,0.46,0.27,0.14,0.08,569.7,1869,-1.6,-1.7,7.9,
,9:55:22 am,17,,X,-14,-15,-0.56,-0.59,-0.09,-0.09,-0.03,-0.03,579.5,1901,-1.1,-2.4,1,
,9:56:04 am,18,,9,-112,5,-4.4,0.19,-0.7,0.03,-0.21,0.01,574.4,1885,-0.2,-2.2,6.6,
,9:56:20 am,19,,9,-52,62,-2.04,2.44,-0.32,0.39,-0.1,0.12,581.7,1908,-0.9,-2.5,5.4,
,9:56:36 am,20,,9,-38,-72,-1.51,-2.82,-0.24,-0.45,-0.07,-0.13,575.1,1887,-0.8,-2.4,2.7,
,9:57:11 am,21,,10,-74,20,-2.92,0.79,-0.46,0.13,-0.14,0.04,578.9,1899,-0.3,-2.3,5.1,
,9:57:41 am,22,,X,-21,21,-0.82,0.83,-0.13,0.13,-0.04,0.04,578.7,1899,-1,-2.3,2.7,

,,,,avg:,-31,-1,-1.22,-0.04,-0.19,-0.01,-0.06,0,576.3,1890.8,-0.9,-2.3,3.9,
,,,,SD:,54.4,42.4,2.14,1.67,0.34,0.27,0.1,0.08,3.86,12.7,0.58,0.2,3.8,


Feb 15 2020,Higgins open 1,14,600y,211-1X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:46:05 am,S1,sighter,5,-148,-488,-5.83,-19.22,-0.93,-3.06,-0.28,-0.91,582.7,1912,-0.3,-2.6,1.1,
,8:48:40 am,S2,sighter,9,106,-68,4.16,-2.67,0.66,-0.42,0.2,-0.13,570.6,1872,-1.5,-2.1,3.2,
,8:50:14 am,S3,sighter,10,2,54,0.06,2.12,0.01,0.34,0,0.1,577,1893,-1,-2.1,0.5,
,8:51:18 am,1,,9,-47,111,-1.85,4.37,-0.3,0.69,-0.09,0.21,581.6,1908,-1.1,-2.2,1.3,
,8:52:06 am,2,,9,-117,-67,-4.59,-2.65,-0.73,-0.42,-0.22,-0.12,580.2,1904,-1.4,-2.5,2.4,
,8:52:54 am,3,,10,46,-6,1.79,-0.24,0.29,-0.04,0.08,-0.01,573.5,1882,-1.6,-2.3,7.4,
,8:53:21 am,4,,X,13,26,0.51,1.03,0.08,0.16,0.02,0.05,584.1,1916,-2,-2.3,6.4,
,8:53:40 am,5,,9,4,87,0.14,3.42,0.02,0.54,0.01,0.16,574.8,1886,-1.5,-2.2,1.8,
,8:53:59 am,6,,10,-54,55,-2.12,2.15,-0.34,0.34,-0.1,0.1,576.8,1892,-1.4,-2.3,1.6,
,8:54:21 am,7,,10,60,-28,2.35,-1.1,0.37,-0.18,0.11,-0.05,576.5,1891,-1.5,-2,2.4,
,8:54:45 am,8,,10,-57,46,-2.24,1.8,-0.36,0.29,-0.11,0.08,582.3,1910,-1.2,-2.2,2.3,
,8:55:07 am,9,,10,-2,55,-0.06,2.17,-0.01,0.35,0,0.1,580.7,1905,-1,-2.2,0.4,
,8:55:23 am,10,,10,17,47,0.67,1.86,0.11,0.3,0.03,0.09,574,1883,-1.6,-1.9,2.2,
,8:55:40 am,11,,10,-44,5,-1.75,0.18,-0.28,0.03,-0.08,0.01,580.3,1904,-1.3,-2.1,1.4,
,8:55:59 am,12,,10,-61,10,-2.42,0.39,-0.39,0.06,-0.11,0.02,581.1,1906,-1.7,-2.1,1.7,
,8:56:18 am,13,,9,46,-90,1.83,-3.56,0.29,-0.57,0.09,-0.17,584.6,1918,-1.6,-2.2,1.1,
,8:56:43 am,14,,9,117,-14,4.59,-0.54,0.73,-0.09,0.22,-0.03,575.1,1887,-1.1,-2.1,3,
,8:57:14 am,15,,10,50,-2,1.98,-0.09,0.32,-0.02,0.09,0,572,1877,-0.7,-1.6,1.9,
,8:57:33 am,16,,9,84,-9,3.32,-0.36,0.53,-0.06,0.16,-0.02,578.7,1899,-1,-2.1,0.5,
,8:57:53 am,17,,9,99,-22,3.89,-0.87,0.62,-0.14,0.18,-0.04,577,1893,-1.3,-2,2.5,
,8:58:36 am,18,,10,51,-20,2.02,-0.78,0.32,-0.12,0.1,-0.04,580.8,1906,-1.4,-2.3,3.1,
,8:59:05 am,19,,10,57,-54,2.26,-2.11,0.36,-0.34,0.11,-0.1,573.4,1881,-1,-2.2,1.7,
,8:59:29 am,20,,9,67,76,2.64,2.97,0.42,0.47,0.12,0.14,578.5,1898,-1.1,-2.2,0.4,
,8:59:50 am,21,,9,28,-118,1.11,-4.66,0.18,-0.74,0.05,-0.22,584.5,1918,-1.8,-2.7,5.9,
,9:00:06 am,22,,10,-45,-26,-1.78,-1.04,-0.28,-0.16,-0.08,-0.05,582.9,1912,-0.9,-2.4,2.4,

,,,,avg:,14,3,0.56,0.11,0.09,0.02,0.03,0,578.8,1898.9,-1.3,-2.2,2.4,
,,,,SD:,59.5,55.9,2.34,2.2,0.37,0.35,0.11,0.1,3.8,12.5,0.33,0.21,1.8,
