ShotMarker Archived Data (generated May 17 2020)
Exported 50 strings from May 16 to May 17 of 2134 total in archive

May 17 2020,Higgins 3,14,600y,27-0X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,12:17:14 am,S1,sighter,8,191,62,7.52,2.43,1.2,0.39,0.35,0.11,577.9,1896,-1.2,-2.5,4.8,
,12:17:46 am,S2,sighter,9,52,-115,2.04,-4.52,0.32,-0.72,0.1,-0.21,575.8,1889,-1.1,-2.7,1.3,
,12:18:04 am,S3,sighter,9,-38,-135,-1.51,-5.3,-0.24,-0.84,-0.07,-0.25,575.7,1889,-1.2,-2.8,1.5,
,12:19:01 am,1,,9,-50,-83,-1.96,-3.28,-0.31,-0.52,-0.09,-0.15,579.2,1900,-1.3,-2.9,1.1,
,12:20:12 am,2,,9,-56,-134,-2.21,-5.26,-0.35,-0.84,-0.1,-0.25,580.1,1903,-1.3,-2.8,3.7,
,12:21:14 am,3,,9,-71,-95,-2.8,-3.74,-0.45,-0.6,-0.13,-0.18,576.6,1892,-1.2,-2.8,2.6,

,,,,avg:,-59,-104,-2.33,-4.09,-0.37,-0.65,-0.11,-0.19,578.6,1898.4,-1.2,-2.8,2.5,
,,,,SD:,8.9,21.5,0.35,0.85,0.06,0.13,0.02,0.04,1.48,4.9,0.03,0.05,1.1,

May 17 2020,Higgins 2,14,600y,191-1X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,12:01:07 am,S1,sighter,X,-9,16,-0.35,0.63,-0.06,0.1,-0.02,0.03,589.5,1934,-1.3,-2.7,0.5,
,12:01:35 am,S2,sighter,10,-32,50,-1.25,1.98,-0.2,0.32,-0.06,0.09,593,1946,-1.3,-3,0.7,
,12:01:53 am,S3,sighter,10,12,75,0.47,2.94,0.08,0.47,0.02,0.14,594.4,1950,-1.1,-2.9,6.4,
,12:02:19 am,1,,9,43,141,1.7,5.56,0.27,0.88,0.08,0.26,594.6,1951,-1.1,-2.8,0.6,
,12:02:42 am,2,,9,-56,78,-2.2,3.07,-0.35,0.49,-0.1,0.15,595.9,1955,-1.2,-2.9,0.3,
,12:02:59 am,3,,9,31,141,1.22,5.54,0.19,0.88,0.06,0.26,598.5,1964,-1.1,-2.8,0.3,
,12:04:27 am,4,,9,15,127,0.59,4.98,0.09,0.79,0.03,0.23,593.4,1947,-1.3,-2.9,0.6,
,12:04:51 am,5,,9,53,80,2.07,3.15,0.33,0.5,0.1,0.15,596.1,1956,-1.5,-2.7,2.1,
,12:05:11 am,6,,10,5,59,0.19,2.31,0.03,0.37,0.01,0.11,598.7,1964,-1.2,-2.9,0.9,
,12:05:30 am,7,,10,40,50,1.57,1.96,0.25,0.31,0.07,0.09,596,1955,-1.5,-2.7,1.2,
,12:06:07 am,8,,X,32,-2,1.28,-0.09,0.2,-0.02,0.06,0,594.7,1951,-1.5,-2.8,1.4,
,12:06:34 am,9,,9,-3,82,-0.11,3.24,-0.02,0.52,-0.01,0.15,598.4,1963,-1.4,-2.8,1.8,
,12:07:32 am,10,,10,10,62,0.39,2.44,0.06,0.39,0.02,0.12,590.2,1936,-1.2,-2.9,0.9,
,12:07:50 am,11,,9,116,100,4.55,3.94,0.72,0.63,0.21,0.19,593,1946,-1.2,-2.8,1.3,
,12:08:21 am,12,,9,135,75,5.3,2.95,0.84,0.47,0.25,0.14,598.3,1963,-1.3,-2.6,2.6,
,12:08:55 am,13,,9,134,63,5.26,2.48,0.84,0.39,0.25,0.12,598.6,1964,-1.2,-2.6,3,
,12:09:30 am,14,,9,145,58,5.71,2.28,0.91,0.36,0.27,0.11,588.3,1930,-1.1,-2.8,2.1,
