ShotMarker Archived Data (generated Jan 19 2019)
Exported 4 strings from Jan 19 of 51 total in archive

Jan 19 2019,Eric rly 2,Spike,600y,

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,10:16:10 am,S1,sighter,5,537,296,21.14,11.65,3.36,1.85,1,0.55,764.5,2508,2.5,-15.8,,
,10:19:13 am,(S1+),hidden/warning-angle,X,-23,29,-0.93,1.15,-0.15,0.18,-0.04,0.05,591.7,1941,-0.2,-3.9,2.7,
,10:21:35 am,(S1+),hidden/warning-angle,9,-79,-57,-3.11,-2.26,-0.5,-0.36,-0.15,-0.11,586.5,1924,-0.1,-4.1,1.8,
,10:27:35 am,(S1+),hidden/warning-angle,9,51,-69,1.99,-2.7,0.32,-0.43,0.09,-0.13,583.8,1915,-0.1,-4.1,1,
,10:28:56 am,(S1+),hidden/warning-angle,10,-51,-6,-2.02,-0.24,-0.32,-0.04,-0.1,-0.01,590.8,1938,-0.1,-4,1.2,
,10:31:32 am,(S1+),hidden/warning-angle,10,32,-31,1.28,-1.22,0.2,-0.19,0.06,-0.06,588,1929,-0.1,-4,1.9,
,10:31:56 am,(S1+),hidden/warning-angle,10,9,-68,0.35,-2.67,0.06,-0.42,0.02,-0.13,587.6,1928,-0.1,-4.1,1,
,10:32:18 am,(S1+),hidden/warning-angle,9,-96,-68,-3.76,-2.67,-0.6,-0.43,-0.18,-0.13,586.1,1923,-0.1,-4,3.4,
,10:32:54 am,(S1+),hidden/warning-angle,10,-34,-72,-1.32,-2.82,-0.21,-0.45,-0.06,-0.13,590.6,1938,-0.2,-4,1.9,
,10:33:18 am,(S1+),hidden/warning-angle,10,-4,-68,-0.17,-2.69,-0.03,-0.43,-0.01,-0.13,592.7,1945,-0.2,-4.1,2.6,
,10:33:34 am,(S1+),hidden/warning-angle,9,-66,-81,-2.6,-3.18,-0.41,-0.51,-0.12,-0.15,593.2,1946,-0.3,-4,0.7,
,10:34:04 am,(S1+),hidden/warning-angle,10,19,-76,0.75,-2.98,0.12,-0.47,0.04,-0.14,586.9,1926,-0.1,-3.9,1.4,
,10:34:26 am,(S1+),hidden/warning-angle,10,56,-43,2.19,-1.7,0.35,-0.27,0.1,-0.08,587.6,1928,-0.2,-4.1,0.7,
,10:35:28 am,(S1+),hidden/warning-angle,10,54,-54,2.13,-2.15,0.34,-0.34,0.1,-0.1,588.1,1929,-0.3,-4.1,2,
,10:35:49 am,(S1+),hidden/warning-angle,10,38,-44,1.48,-1.74,0.23,-0.28,0.07,-0.08,590.1,1936,-0.1,-4.1,0.7,
,10:36:23 am,(S1+),hidden/warning-angle,X,29,-25,1.15,-1,0.18,-0.16,0.05,-0.05,586.6,1925,-0.2,-4,1.6,
,10:36:53 am,(S1+),hidden/warning-angle,10,19,-44,0.76,-1.72,0.12,-0.27,0.04,-0.08,588.4,1930,-0.2,-4.1,1.1,
,10:37:14 am,(S1+),hidden/warning-angle,9,48,-69,1.87,-2.73,0.3,-0.43,0.09,-0.13,593.3,1947,-0.1,-4,1.6,
