sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0022

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2765.15;0.00;-
0.007021;2752.76;6.45;41.95
0.008021;2755.80;7.37;39.42
0.009021;2751.72;8.29;40.48
0.010021;2754.49;9.20;38.90
0.011021;2751.73;10.12;37.85
0.012021;2750.42;11.04;36.29
0.013021;2749.16;11.96;35.46
0.014021;2748.04;12.87;34.62
0.015021;2746.77;13.79;33.49
0.016021;2745.71;14.70;32.06
0.017021;2744.46;15.62;30.93
0.018021;2743.19;16.53;30.50
0.019021;2741.28;17.45;28.56
0.020021;2739.53;18.36;26.25
0.021021;2738.35;19.27;25.29
0.022021;2736.15;20.19;25.67
0.023021;2734.60;21.10;25.99
0.024021;2734.11;22.01;24.94
0.025021;2733.50;22.92;24.33
0.026021;2730.84;23.83;24.45
0.027021;2731.03;24.74;21.75
0.028021;2731.22;25.65;19.76
0.029021;2726.62;26.56;21.98
0.030021;2726.38;27.47;22.88
0.031021;2725.95;28.38;23.10
0.032021;2723.06;29.29;20.08
0.033021;2716.68;30.19;21.05
0.034021;2717.64;31.10;19.41
0.035021;2720.65;32.01;17.47
0.036021;2716.16;32.91;19.05
0.037021;2718.24;33.82;21.67
0.038021;2715.18;34.72;19.58
0.039021;2713.55;35.63;22.24
0.040021;2711.08;36.53;21.11
0.041021;2711.81;37.44;17.74
0.042021;2713.24;38.34;17.47
0.043021;2711.81;39.24;15.81
0.044021;2706.28;40.15;21.01
0.045021;2704.10;41.05;21.22
0.046021;2704.87;41.95;19.08
0.047021;2701.86;42.85;19.24
0.048021;2703.20;43.75;18.80
0.049021;2699.76;44.65;16.66
0.050021;2701.02;45.55;15.73
0.051021;2699.12;46.45;16.50
0.052021;2697.36;47.35;17.60
0.053021;2696.25;48.25;15.79
0.054021;2695.74;49.15;12.25
0.055021;2694.90;50.05;12.73
0.056021;2696.51;50.95;14.37
0.057021;2692.09;51.84;14.05
0.058021;2682.13;52.74;10.51
0.059021;2688.60;53.64;12.62
0.060021;2684.10;54.53;14.58
0.061021;2680.62;55.43;10.00
0.063021;2683.45;57.21;13.40
0.064021;2677.59;58.11;12.30
0.066021;2675.50;59.89;11.72
0.067021;2682.19;60.78;10.57
