ShotMarker Archived Data (generated Jan 26 2019)
Exported 2 strings from Jan 26 of 53 total in archive

Jan 26 2019,real 50,Spike,300y,4.23 inch

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,2:07:02 pm,S1,sighter,,-488,50,-19.22,1.96,-6.12,0.62,-1.81,0.18,739.9,2427,-0.8,1.7,,
,2:08:44 pm,S2,sighter,X,14,22,0.54,0.88,0.17,0.28,0.05,0.08,711.6,2335,0.4,0.9,6.1,
,2:09:03 pm,1,,9,87,24,3.42,0.96,1.09,0.31,0.32,0.09,708.5,2324,0.3,0.7,5.1,
,2:09:36 pm,2,,9,80,17,3.14,0.67,1,0.21,0.3,0.06,703.1,2307,0.4,1,4,
,2:09:49 pm,3,,10,43,1,1.7,0.06,0.54,0.02,0.16,0.01,705.2,2314,0.4,0.9,4.1,
,2:10:10 pm,4,,10,42,20,1.65,0.8,0.53,0.25,0.16,0.08,707.8,2322,0.4,1,5.8,
,2:10:37 pm,5,,10,52,33,2.04,1.29,0.65,0.41,0.19,0.12,711,2333,0.4,0.9,5.6,
,2:11:00 pm,6,,10,57,-3,2.24,-0.12,0.71,-0.04,0.21,-0.01,711.2,2333,0.5,0.8,6.3,
,2:11:23 pm,7,,10,52,25,2.04,0.98,0.65,0.31,0.19,0.09,711.8,2335,0.4,1,8.7,
,2:11:47 pm,8,,10,67,-7,2.63,-0.26,0.84,-0.08,0.25,-0.02,708.9,2326,0.5,0.9,7.1,
,2:13:45 pm,9,,10,62,11,2.42,0.42,0.77,0.13,0.23,0.04,708.1,2323,0.5,1,7.4,
,2:14:16 pm,10,,10,46,3,1.82,0.11,0.58,0.03,0.17,0.01,706.6,2318,0.4,0.9,5.9,
,2:14:36 pm,11,,10,54,-5,2.13,-0.19,0.68,-0.06,0.2,-0.02,709.2,2327,0.4,1,5.2,
,2:14:57 pm,12,,9,71,41,2.8,1.59,0.89,0.51,0.26,0.15,706.1,2317,0.5,1,5.1,
,2:15:16 pm,13,,10,56,9,2.22,0.33,0.71,0.11,0.21,0.03,713.2,2340,0.3,1,4.9,
,2:15:39 pm,14,,10,61,-1,2.4,-0.04,0.76,-0.01,0.23,0,716.6,2351,0.6,1,3.9,
,2:15:57 pm,15,,10,50,15,1.98,0.58,0.63,0.18,0.19,0.05,713.3,2340,0.5,0.8,4.2,
,2:16:18 pm,16,,9,101,8,3.96,0.33,1.26,0.1,0.37,0.03,708.8,2325,0.5,0.9,4.6,
,2:16:35 pm,17,,10,56,28,2.22,1.09,0.71,0.35,0.21,0.1,710.5,2331,0.5,1,4,
,2:16:57 pm,18,,9,76,25,2.98,0.98,0.95,0.31,0.28,0.09,707.6,2322,0.5,1,4.6,
,2:20:01 pm,19,,9,93,36,3.67,1.42,1.17,0.45,0.35,0.13,709.9,2329,0.5,0.9,6,
,2:20:34 pm,20,,9,78,26,3.05,1.01,0.97,0.32,0.29,0.1,707.7,2322,0.5,1.1,5.3,
,2:20:58 pm,21,,10,47,-2,1.84,-0.09,0.59,-0.03,0.17,-0.01,709.5,2328,0.4,0.9,5.1,
,2:21:23 pm,22,,10,54,4,2.13,0.15,0.68,0.05,0.2,0.01,705.8,2316,0.4,0.9,4.4,
,2:21:50 pm,23,,10,70,10,2.74,0.41,0.87,0.13,0.26,0.04,712.2,2337,0.5,1,6.2,
,2:22:15 pm,24,,9,90,22,3.53,0.87,1.12,0.28,0.33,0.08,706.7,2319,0.5,0.9,5.7,
,2:22:29 pm,25,,10,76,14,3.01,0.53,0.96,0.17,0.28,0.05,716.2,2350,0.4,0.9,4.5,
,2:22:46 pm,26,,9,82,25,3.22,0.96,1.02,0.31,0.3,0.09,711.9,2336,0.5,0.9,5.6,
,2:23:12 pm,27,,9,100,20,3.94,0.77,1.25,0.25,0.37,0.07,719.7,2361,0.5,0.8,6.3,
,2:23:42 pm,28,,9,90,46,3.54,1.83,1.13,0.58,0.33,0.17,720,2362,0.5,0.9,5.8,
,2:25:48 pm,29,,X,-2,14,-0.1,0.56,-0.03,0.18,-0.01,0.05,711.1,2333,0.4,1,5.7,
,2:26:15 pm,30,,10,33,34,1.3,1.33,0.41,0.42,0.12,0.13,710.1,2330,0.4,1,5.6,
,2:26:31 pm,31,,10,59,33,2.33,1.31,0.74,0.42,0.22,0.12,708.8,2325,0.5,1,5.3,
,2:26:48 pm,32,,10,39,41,1.52,1.62,0.48,0.52,0.14,0.15,712.3,2337,0.4,1,5.9,
,2:27:07 pm,33,,10,52,26,2.03,1.02,0.65,0.32,0.19,0.1,707.9,2323,0.4,0.9,5.3,
,2:28:36 pm,34,,9,86,20,3.39,0.77,1.08,0.25,0.32,0.07,710.8,2332,0.7,0.8,4.6,
,2:29:44 pm,35,,10,62,-3,2.43,-0.11,0.77,-0.03,0.23,-0.01,709.3,2327,0.4,1,7.1,
,2:29:56 pm,36,,10,46,24,1.83,0.96,0.58,0.31,0.17,0.09,714.2,2343,0.5,1,5.1,
,2:30:29 pm,37,,10,45,63,1.77,2.48,0.56,0.79,0.17,0.23,711.9,2336,0.3,0.9,8.8,
,2:30:41 pm,38,,10,47,49,1.84,1.93,0.59,0.62,0.17,0.18,710.2,2330,0.4,1,5.5,
,2:33:35 pm,39,,10,50,21,1.96,0.83,0.62,0.27,0.18,0.08,710.3,2330,0.3,1,5.7,
