sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0006

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2732.37;0.00;-
0.007021;2716.07;6.37;26.31
0.008021;2712.96;7.28;28.59
0.009021;2713.20;8.18;27.19
0.010021;2712.37;9.09;20.49
0.011021;2708.41;9.99;23.14
0.012021;2706.64;10.89;22.24
0.013021;2703.79;11.79;20.90
0.014021;2703.51;12.69;21.66
0.015021;2700.09;13.59;17.19
0.016021;2697.56;14.49;17.99
0.017021;2695.37;15.39;18.98
0.018021;2690.92;16.29;16.86
0.019021;2690.01;17.19;15.98
0.020021;2690.37;18.08;16.82
0.021021;2686.56;18.98;17.26
0.022021;2686.14;19.88;16.58
0.023021;2681.86;20.77;13.91
