Series, 1, Shots:,10
Min,2725, Max,2808  
Avg,2775 ,S-D,21.5  
ES ,  83

Series,Shot,Speed   
 1, 1, 2725, ft/s   
 1, 2, 2769, ft/s   
 1, 3, 2808, ft/s   
 1, 4, 2792, ft/s   
 1, 5, 2782, ft/s   
 1, 6, 2778, ft/s   
 1, 7, 2786, ft/s   
 1, 8, 2772, ft/s   
 1, 9, 2765, ft/s   
 1,10, 2775, ft/s   
----,----,----,---- 
Series, 2, Shots:,10
Min,2703, Max,2750  
Avg,2729 ,S-D,15.9  
ES ,  47

Series,Shot,Speed   
 2, 1, 2750, ft/s   
 2, 2, 2703, ft/s   
 2, 3, 2706, ft/s   
 2, 4, 2736, ft/s   
 2, 5, 2737, ft/s   
 2, 6, 2739, ft/s   
 2, 7, 2732, ft/s   
 2, 8, 2732, ft/s   
 2, 9, 2745, ft/s   
 2,10, 2717, ft/s   
----,----,----,---- 
Series, 3, Shots:,11
Min,2762, Max,2820  
Avg,2798 ,S-D,14.6  
ES ,  58

Series,Shot,Speed   
 3, 1, 2800, ft/s   
 3, 2, 2793, ft/s   
 3, 3, 2810, ft/s   
 3, 4, 2791, ft/s   
 3, 5, 2762, ft/s   
 3, 6, 2802, ft/s   
 3, 7, 2805, ft/s   
 3, 8, 2804, ft/s   
 3, 9, 2795, ft/s   
 3,10, 2804, ft/s   
 3,11, 2820, ft/s   
----,----,----,---- 
Series, 4, Shots:,20
Min,2398, Max,2529  
Avg,2468 ,S-D,37.0  
ES , 131

Series,Shot,Speed   
 4, 1, 2407, ft/s   
 4, 2, 2493, ft/s   
 4, 3, 2398, ft/s   
 4, 4, 2475, ft/s   
 4, 5, 2490, ft/s   
 4, 6, 2476, ft/s   
 4, 7, 2447, ft/s   
 4, 8, 2510, ft/s   
 4, 9, 2432, ft/s   
 4,10, 2477, ft/s   
 4,11, 2526, ft/s   
 4,12, 2420, ft/s   
 4,13, 2529, ft/s   
 4,14, 2439, ft/s   
 4,15, 2495, ft/s   
 4,16, 2465, ft/s   
 4,17, 2498, ft/s   
 4,18, 2488, ft/s   
 4,19, 2464, ft/s   
 4,20, 2449, ft/s   
----,----,----,---- 
Series, 5, Shots:,10
Min,3167, Max,3210  
Avg,3183 ,S-D,12.5  
ES ,  43

Series,Shot,Speed   
 5, 1, 3189, ft/s   
 5, 2, 3167, ft/s   
 5, 3, 3175, ft/s   
 5, 4, 3192, ft/s   
 5, 5, 3173, ft/s   
 5, 6, 3176, ft/s   
 5, 7, 3179, ft/s   
 5, 8, 3185, ft/s   
 5, 9, 3192, ft/s   
 5,10, 3210, ft/s   
----,----,----,---- 
Series, 6, Shots:, 5
Min,2256, Max,2272  
Avg,2266 ,S-D, 6.4  
ES ,  16

Series,Shot,Speed   
