"Device Name","D2 - BLUE"
"Device Model","Kestrel DROP 2"
"Serial Number","2625490"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-02-06 02:00:00 PM","16.1","52.4","14.5","6.3","point"
"2024-02-06 03:00:00 PM","13.1","54.6","11.9","4.1","point"
"2024-02-06 04:00:00 PM","12.8","54.6","11.6","3.9","point"
"2024-02-06 05:00:00 PM","12.7","54.7","11.6","3.8","point"
"2024-02-06 06:00:00 PM","12.7","54.8","11.6","3.9","point"
"2024-02-06 07:00:00 PM","12.7","54.9","11.6","3.9","point"
"2024-02-06 08:00:00 PM","12.7","54.9","11.5","3.9","point"
"2024-02-06 09:00:00 PM","12.6","55.0","11.5","3.8","point"
"2024-02-06 10:00:00 PM","12.5","55.0","11.4","3.8","point"
"2024-02-06 11:00:00 PM","12.4","55.1","11.3","3.7","point"
"2024-02-07 12:00:00 AM","12.4","55.2","11.2","3.7","point"
"2024-02-07 01:00:00 AM","12.2","55.2","11.2","3.5","point"
"2024-02-07 02:00:00 AM","12.1","55.2","11.1","3.4","point"
"2024-02-07 03:00:00 AM","12.0","55.3","11.0","3.3","point"
"2024-02-07 04:00:00 AM","11.9","55.3","10.9","3.3","point"
"2024-02-07 05:00:00 AM","11.8","55.3","10.8","3.2","point"
"2024-02-07 06:00:00 AM","11.7","55.4","10.7","3.1","point"
"2024-02-07 07:00:00 AM","11.6","55.4","10.6","3.0","point"
"2024-02-07 08:00:00 AM","11.5","55.4","10.5","2.9","point"
"2024-02-07 09:00:00 AM","11.5","55.5","10.4","2.9","point"
"2024-02-07 10:00:00 AM","11.4","55.5","10.4","2.9","point"
"2024-02-07 11:00:00 AM","11.5","55.4","10.4","2.9","point"
"2024-02-07 12:00:00 PM","11.4","55.5","10.3","2.8","point"
"2024-02-07 01:00:00 PM","11.7","54.7","10.6","2.9","point"
"2024-02-07 02:00:00 PM","11.7","55.5","10.6","3.1","point"
"2024-02-07 03:00:00 PM","16.8","57.0","15.5","8.3","point"
"2024-02-07 04:00:00 PM","13.0","56.7","12.0","4.6","point"
"2024-02-07 05:00:00 PM","12.6","56.3","11.5","4.1","point"
"2024-02-07 06:00:00 PM","12.5","56.1","11.3","4.0","point"
"2024-02-07 07:00:00 PM","12.4","56.0","11.3","3.9","point"
"2024-02-07 08:00:00 PM","12.4","56.0","11.2","3.8","point"
"2024-02-07 09:00:00 PM","12.2","56.0","11.1","3.6","point"
"2024-02-07 10:00:00 PM","12.0","55.9","11.0","3.5","point"
"2024-02-07 11:00:00 PM","11.9","55.9","10.8","3.4","point"
"2024-02-08 12:00:00 AM","11.7","55.9","10.6","3.2","point"
"2024-02-08 01:00:00 AM","11.5","55.9","10.5","3.0","point"
"2024-02-08 02:00:00 AM","11.4","55.9","10.3","2.9","point"
"2024-02-08 03:00:00 AM","11.1","56.0","10.1","2.7","point"
"2024-02-08 04:00:00 AM","11.0","55.9","10.0","2.6","point"
"2024-02-08 05:00:00 AM","10.9","56.0","9.9","2.4","point"
"2024-02-08 06:00:00 AM","10.8","56.0","9.8","2.3","point"
"2024-02-08 07:00:00 AM","10.7","56.0","9.8","2.3","point"
"2024-02-08 08:00:00 AM","10.6","56.0","9.7","2.2","point"
"2024-02-08 09:00:00 AM","10.5","56.0","9.6","2.1","point"
"2024-02-08 10:00:00 AM","10.5","56.0","9.6","2.1","point"
"2024-02-08 11:00:00 AM","10.6","56.0","9.6","2.2","point"
"2024-02-08 12:00:00 PM","10.8","56.0","9.8","2.3","point"
