"Device Name","D2 - GREEN"
"Device Model","Kestrel DROP 2"
"Serial Number","2634712"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-02-06 02:00:00 PM","19.7","49.7","18.5","8.9","point"
"2024-02-06 03:00:00 PM","19.1","51.8","17.7","9.0","point"
"2024-02-06 04:00:00 PM","19.1","51.8","17.7","9.0","point"
"2024-02-06 05:00:00 PM","19.5","51.8","18.3","9.4","point"
"2024-02-06 06:00:00 PM","19.4","51.8","18.0","9.2","point"
"2024-02-06 07:00:00 PM","19.6","51.9","18.4","9.5","point"
"2024-02-06 08:00:00 PM","20.2","50.7","19.3","9.7","point"
"2024-02-06 09:00:00 PM","20.3","50.3","19.4","9.7","point"
"2024-02-06 10:00:00 PM","20.0","50.6","18.8","9.4","point"
"2024-02-06 11:00:00 PM","19.6","51.3","18.4","9.3","point"
"2024-02-07 12:00:00 AM","19.3","51.0","17.8","8.9","point"
"2024-02-07 01:00:00 AM","18.9","51.0","17.4","8.6","point"
"2024-02-07 02:00:00 AM","18.6","51.0","17.0","8.3","point"
"2024-02-07 03:00:00 AM","18.4","51.0","16.6","8.1","point"
"2024-02-07 04:00:00 AM","18.1","51.1","16.3","7.8","point"
"2024-02-07 05:00:00 AM","17.9","51.1","16.1","7.6","point"
"2024-02-07 06:00:00 AM","17.6","51.2","15.9","7.4","point"
"2024-02-07 07:00:00 AM","17.7","51.8","15.9","7.7","point"
"2024-02-07 08:00:00 AM","18.4","50.5","16.5","7.9","point"
"2024-02-07 09:00:00 AM","18.4","50.5","16.5","7.9","point"
"2024-02-07 10:00:00 AM","18.8","52.7","17.4","9.0","point"
"2024-02-07 11:00:00 AM","18.7","52.2","17.1","8.7","point"
"2024-02-07 12:00:00 PM","18.7","52.0","17.1","8.7","point"
"2024-02-07 01:00:00 PM","18.9","51.7","17.4","8.8","point"
"2024-02-07 02:00:00 PM","19.0","52.9","17.5","9.2","point"
"2024-02-07 03:00:00 PM","19.4","51.5","18.1","9.2","point"
"2024-02-07 04:00:00 PM","19.6","52.4","18.3","9.6","point"
"2024-02-07 05:00:00 PM","19.9","50.2","18.8","9.3","point"
"2024-02-07 06:00:00 PM","20.2","49.6","19.2","9.3","point"
"2024-02-07 07:00:00 PM","20.6","49.0","19.6","9.5","point"
"2024-02-07 08:00:00 PM","20.7","48.6","19.9","9.5","point"
"2024-02-07 09:00:00 PM","20.6","48.7","19.7","9.5","point"
"2024-02-07 10:00:00 PM","20.3","49.3","19.2","9.3","point"
"2024-02-07 11:00:00 PM","19.8","50.8","18.6","9.3","point"
"2024-02-08 12:00:00 AM","19.3","50.5","17.9","8.8","point"
"2024-02-08 01:00:00 AM","18.9","50.5","17.2","8.4","point"
"2024-02-08 02:00:00 AM","18.5","50.5","16.6","8.0","point"
"2024-02-08 03:00:00 AM","18.1","50.5","16.2","7.7","point"
"2024-02-08 04:00:00 AM","17.7","50.5","15.9","7.3","point"
"2024-02-08 05:00:00 AM","17.4","50.6","15.6","7.1","point"
"2024-02-08 06:00:00 AM","17.2","50.6","15.4","6.8","point"
"2024-02-08 07:00:00 AM","17.3","51.0","15.6","7.0","point"
"2024-02-08 08:00:00 AM","18.1","49.6","16.3","7.4","point"
"2024-02-08 09:00:00 AM","18.1","49.2","16.2","7.3","point"
"2024-02-08 10:00:00 AM","18.2","50.0","16.4","7.6","point"
"2024-02-08 11:00:00 AM","18.3","51.7","16.6","8.2","point"
"2024-02-08 12:00:00 PM","18.6","51.9","17.0","8.6","point"
"2024-02-08 01:00:00 PM","18.5","51.4","16.7","8.3","point"
"2024-02-08 02:00:00 PM","18.9","52.7","17.5","9.0","point"
"2024-02-08 03:00:00 PM","19.2","51.1","17.8","8.9","point"
"2024-02-08 04:00:00 PM","19.1","51.0","17.6","8.7","point"
"2024-02-08 05:00:00 PM","19.5","50.1","18.1","8.8","point"
"2024-02-08 06:00:00 PM","19.5","49.4","18.2","8.7","point"
"2024-02-08 07:00:00 PM","19.8","48.3","18.4","8.6","point"
"2024-02-08 08:00:00 PM","19.4","48.2","18.0","8.2","point"
"2024-02-08 09:00:00 PM","19.3","49.5","17.7","8.4","point"
"2024-02-08 10:00:00 PM","19.1","50.4","17.5","8.6","point"
"2024-02-08 11:00:00 PM","18.7","50.9","17.1","8.4","point"
"2024-02-09 12:00:00 AM","18.4","51.3","16.6","8.2","point"
"2024-02-09 01:00:00 AM","18.1","51.3","16.3","7.9","point"
"2024-02-09 02:00:00 AM","17.8","51.2","16.1","7.6","point"
"2024-02-09 03:00:00 AM","17.6","51.2","15.8","7.4","point"
"2024-02-09 04:00:00 AM","17.3","51.3","15.6","7.2","point"
"2024-02-09 05:00:00 AM","17.1","51.3","15.4","6.9","point"
"2024-02-09 06:00:00 AM","16.9","51.2","15.2","6.7","point"
"2024-02-09 07:00:00 AM","17.3","51.5","15.6","7.2","point"
"2024-02-09 08:00:00 AM","18.3","49.7","16.5","7.6","point"
"2024-02-09 09:00:00 AM","18.3","50.5","16.4","7.8","point"
"2024-02-09 10:00:00 AM","18.4","52.2","16.6","8.4","point"
"2024-02-09 11:00:00 AM","18.6","52.8","17.1","8.8","point"
"2024-02-09 12:00:00 PM","18.5","50.9","16.8","8.2","point"
"2024-02-09 01:00:00 PM","18.5","50.4","16.7","8.1","point"
"2024-02-09 02:00:00 PM","18.5","51.2","16.8","8.3","point"
"2024-02-09 02:00:42 PM","18.5","51.2","16.8","8.3","point"
"2024-02-09 03:00:42 PM","18.6","51.1","17.0","8.3","point"
"2024-02-09 04:00:42 PM","18.6","50.9","17.0","8.2","point"
"2024-02-09 05:00:42 PM","19.0","51.6","17.4","8.8","point"
"2024-02-09 06:00:42 PM","18.9","52.0","17.3","8.8","point"
"2024-02-09 07:00:42 PM","18.9","51.0","17.3","8.6","point"
"2024-02-09 08:00:42 PM","18.6","51.3","16.8","8.3","point"
"2024-02-09 09:00:42 PM","18.6","51.7","17.0","8.5","point"
"2024-02-09 10:00:42 PM","18.4","51.7","16.7","8.3","point"
"2024-02-09 11:00:42 PM","18.2","51.6","16.4","8.0","point"
"2024-02-10 12:00:42 AM","17.9","51.7","16.1","7.8","point"
"2024-02-10 01:00:42 AM","17.7","51.6","15.9","7.6","point"
"2024-02-10 02:00:42 AM","17.4","51.7","15.7","7.4","point"
"2024-02-10 03:00:42 AM","17.2","51.8","15.6","7.2","point"
"2024-02-10 04:00:42 AM","17.0","51.8","15.4","7.0","point"
"2024-02-10 05:00:42 AM","16.8","51.8","15.2","6.9","point"
"2024-02-10 06:00:42 AM","16.6","51.7","15.0","6.6","point"
"2024-02-10 07:00:42 AM","16.5","51.7","14.8","6.5","point"
"2024-02-10 08:00:42 AM","17.7","51.7","15.9","7.6","point"
"2024-02-10 09:00:42 AM","18.2","51.3","16.5","8.0","point"
"2024-02-10 10:00:42 AM","18.2","50.9","16.5","7.9","point"
"2024-02-10 11:00:42 AM","18.3","50.6","16.5","7.9","point"
"2024-02-10 12:00:42 PM","18.4","50.6","16.6","8.0","point"
"2024-02-10 01:00:42 PM","18.8","51.1","17.1","8.5","point"
"2024-02-10 02:00:42 PM","19.0","50.2","17.5","8.4","point"
"2024-02-10 03:00:42 PM","19.2","50.0","17.6","8.5","point"
"2024-02-10 04:00:42 PM","19.4","50.6","17.9","8.9","point"
"2024-02-10 05:00:42 PM","19.6","50.8","18.4","9.1","point"
"2024-02-10 06:00:42 PM","19.9","50.0","18.8","9.2","point"
"2024-02-10 07:00:42 PM","19.7","50.1","18.5","9.1","point"
"2024-02-10 08:00:42 PM","19.7","48.7","18.4","8.6","point"
"2024-02-10 09:00:00 PM","19.6","48.8","18.3","8.6","point"
"2024-02-10 10:00:00 PM","19.3","49.6","17.9","8.6","point"
"2024-02-10 11:00:00 PM","18.9","51.8","17.4","8.8","point"
"2024-02-11 12:00:00 AM","18.7","50.8","17.1","8.3","point"
"2024-02-11 01:00:00 AM","18.5","50.8","16.7","8.1","point"
"2024-02-11 02:00:00 AM","18.1","50.7","16.3","7.8","point"
"2024-02-11 03:00:00 AM","17.9","50.7","16.0","7.5","point"
"2024-02-11 04:00:00 AM","17.6","50.7","15.7","7.2","point"
"2024-02-11 05:00:00 AM","17.3","50.7","15.6","7.0","point"
"2024-02-11 06:00:00 AM","17.0","50.8","15.4","6.7","point"
"2024-02-11 07:00:00 AM","16.8","50.9","15.1","6.6","point"
"2024-02-11 08:00:00 AM","17.8","50.8","16.1","7.5","point"
"2024-02-11 09:00:00 AM","18.4","50.2","16.5","7.8","point"
"2024-02-11 10:00:00 AM","18.5","50.4","16.6","8.0","point"
"2024-02-11 11:00:00 AM","18.4","50.9","16.7","8.1","point"
"2024-02-11 12:00:00 PM","18.3","52.4","16.6","8.4","point"
"2024-02-11 01:00:00 PM","18.2","53.2","16.6","8.5","point"
"2024-02-11 02:00:00 PM","18.2","54.3","16.5","8.8","point"
"2024-02-11 03:00:00 PM","18.2","54.7","16.7","9.0","point"
"2024-02-11 04:00:00 PM","18.4","54.5","16.8","9.0","point"
"2024-02-11 05:00:00 PM","18.9","53.5","17.5","9.3","point"
"2024-02-11 06:00:00 PM","18.9","53.5","17.4","9.3","point"
"2024-02-11 07:00:00 PM","19.7","52.0","18.6","9.6","point"
"2024-02-11 08:00:00 PM","19.9","51.3","18.7","9.5","point"
"2024-02-11 09:00:00 PM","19.7","51.7","18.6","9.5","point"
"2024-02-11 10:00:00 PM","19.4","53.9","18.1","9.8","point"
"2024-02-11 11:00:00 PM","19.4","53.7","18.1","9.8","point"
"2024-02-12 12:00:00 AM","19.1","52.9","17.8","9.3","point"
"2024-02-12 01:00:00 AM","18.9","52.5","17.4","9.0","point"
"2024-02-12 02:00:00 AM","18.6","52.2","17.0","8.6","point"
"2024-02-12 03:00:00 AM","18.4","52.1","16.6","8.4","point"
"2024-02-12 04:00:00 AM","18.2","52.1","16.5","8.2","point"
"2024-02-12 05:00:00 AM","18.0","52.1","16.3","8.0","point"
"2024-02-12 06:00:00 AM","17.9","52.1","16.1","7.9","point"
"2024-02-12 07:00:00 AM","17.7","52.6","16.0","7.9","point"
"2024-02-12 08:00:00 AM","18.7","52.0","17.1","8.7","point"
"2024-02-12 09:00:00 AM","18.6","51.7","16.8","8.4","point"
"2024-02-12 10:00:00 AM","18.7","53.4","17.1","9.0","point"
"2024-02-12 11:00:00 AM","18.6","54.2","17.1","9.2","point"
"2024-02-12 12:00:00 PM","18.9","50.8","17.3","8.5","point"
"2024-02-12 01:00:00 PM","18.8","51.9","17.3","8.7","point"
"2024-02-12 02:00:00 PM","19.1","54.5","17.9","9.7","point"
"2024-02-12 03:00:00 PM","19.3","52.6","17.9","9.4","point"
"2024-02-12 04:00:00 PM","19.2","53.5","17.8","9.5","point"
"2024-02-12 05:00:00 PM","19.7","53.4","18.5","10.0","point"
"2024-02-12 06:00:00 PM","19.8","51.8","18.7","9.6","point"
"2024-02-12 07:00:00 PM","19.7","51.4","18.4","9.4","point"
"2024-02-12 08:00:00 PM","19.5","51.1","18.1","9.1","point"
"2024-02-12 09:00:00 PM","19.5","51.0","18.1","9.1","point"
"2024-02-12 10:00:00 PM","19.4","53.5","18.2","9.8","point"
"2024-02-12 10:00:05 PM","19.4","53.5","18.2","9.7","point"
"2024-02-12 11:00:00 PM","19.2","53.7","17.9","9.6","point"
"2024-02-13 12:00:00 AM","18.9","53.2","17.5","9.2","point"
"2024-02-13 01:00:00 AM","18.6","53.0","16.9","8.8","point"
"2024-02-13 02:00:00 AM","18.3","52.9","16.7","8.6","point"
"2024-02-13 03:00:00 AM","18.0","52.7","16.4","8.2","point"
"2024-02-13 04:00:00 AM","17.7","52.7","16.1","7.9","point"
"2024-02-13 05:00:00 AM","17.5","52.7","15.9","7.8","point"
"2024-02-13 06:00:00 AM","17.3","52.6","15.6","7.5","point"
"2024-02-13 07:00:00 AM","17.4","52.9","15.7","7.7","point"
"2024-02-13 08:00:00 AM","18.2","52.0","16.5","8.2","point"
"2024-02-13 09:00:00 AM","18.3","52.6","16.7","8.5","point"
"2024-02-13 10:00:00 AM","18.4","54.5","16.9","9.1","point"
"2024-02-13 11:00:00 AM","18.6","55.6","17.2","9.6","point"
"2024-02-13 12:00:00 PM","18.7","55.2","17.2","9.5","point"
"2024-02-13 01:00:00 PM","18.7","54.4","17.2","9.3","point"
"2024-02-13 02:00:00 PM","19.3","55.2","18.0","10.1","point"
"2024-02-13 03:00:00 PM","19.6","52.3","18.3","9.5","point"
"2024-02-13 04:00:00 PM","20.0","53.9","19.0","10.4","point"
"2024-02-13 05:00:00 PM","20.3","51.8","19.3","10.1","point"
"2024-02-13 06:00:00 PM","20.4","51.4","19.6","10.1","point"
"2024-02-13 07:00:00 PM","20.4","49.8","19.5","9.6","point"
"2024-02-13 08:00:00 PM","20.1","49.4","19.0","9.2","point"
"2024-02-13 09:00:00 PM","20.0","49.4","18.8","9.1","point"
"2024-02-13 10:00:00 PM","19.4","49.7","18.0","8.6","point"
"2024-02-13 11:00:00 PM","19.1","50.6","17.5","8.6","point"
"2024-02-14 12:00:00 AM","18.7","51.1","17.0","8.4","point"
"2024-02-14 01:00:00 AM","18.2","51.3","16.5","8.0","point"
"2024-02-14 02:00:00 AM","17.9","51.3","16.1","7.7","point"
"2024-02-14 03:00:00 AM","17.5","51.5","15.7","7.3","point"
"2024-02-14 04:00:00 AM","17.0","51.4","15.4","7.0","point"
"2024-02-14 05:00:00 AM","16.7","51.4","15.1","6.6","point"
"2024-02-14 06:00:00 AM","16.4","51.1","14.7","6.2","point"
"2024-02-14 07:00:00 AM","16.6","49.8","14.9","6.1","point"
"2024-02-14 08:00:00 AM","17.9","48.3","15.9","6.8","point"
"2024-02-14 09:00:00 AM","18.4","47.8","16.4","7.1","point"
"2024-02-14 10:00:00 AM","18.5","49.6","16.7","7.8","point"
"2024-02-14 11:00:00 AM","18.6","48.3","16.6","7.4","point"
"2024-02-14 12:00:00 PM","18.6","47.8","16.8","7.3","point"
