"Device Name","D2 - ORANGE"
"Device Model","Kestrel DROP 2"
"Serial Number","2558547"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-02-06 02:00:00 PM","14.7","60.6","13.6","7.1","point"
"2024-02-06 03:00:00 PM","12.8","66.5","12.1","6.7","point"
"2024-02-06 04:00:00 PM","12.8","65.7","12.1","6.6","point"
"2024-02-06 05:00:00 PM","12.8","65.8","12.0","6.5","point"
"2024-02-06 06:00:00 PM","12.7","65.6","11.9","6.4","point"
"2024-02-06 07:00:00 PM","12.7","65.4","11.9","6.3","point"
"2024-02-06 08:00:00 PM","12.6","65.3","11.9","6.3","point"
"2024-02-06 09:00:00 PM","12.6","65.3","11.8","6.3","point"
"2024-02-06 10:00:00 PM","12.4","65.4","11.6","6.1","point"
"2024-02-06 11:00:00 PM","12.4","65.5","11.7","6.2","point"
"2024-02-07 12:00:00 AM","12.2","65.6","11.5","6.0","point"
"2024-02-07 01:00:00 AM","12.2","65.7","11.5","5.9","point"
"2024-02-07 02:00:00 AM","12.0","65.9","11.4","5.8","point"
"2024-02-07 03:00:00 AM","12.0","66.0","11.3","5.8","point"
"2024-02-07 04:00:00 AM","11.9","66.1","11.2","5.8","point"
"2024-02-07 05:00:00 AM","11.8","66.3","11.1","5.7","point"
"2024-02-07 06:00:00 AM","11.7","66.4","11.0","5.6","point"
"2024-02-07 07:00:00 AM","11.6","66.5","10.9","5.5","point"
"2024-02-07 08:00:00 AM","11.5","66.6","10.8","5.5","point"
"2024-02-07 09:00:00 AM","11.4","66.7","10.7","5.4","point"
"2024-02-07 10:00:00 AM","11.4","66.7","10.7","5.4","point"
"2024-02-07 11:00:00 AM","11.3","66.4","10.7","5.3","point"
"2024-02-07 12:00:00 PM","11.4","66.3","10.7","5.3","point"
"2024-02-07 01:00:00 PM","11.5","65.8","10.9","5.4","point"
"2024-02-07 02:00:00 PM","11.8","65.1","11.0","5.4","point"
"2024-02-07 03:00:00 PM","16.1","57.7","14.8","7.8","point"
"2024-02-07 04:00:00 PM","12.8","67.8","12.2","7.0","point"
"2024-02-07 05:00:00 PM","12.6","68.4","11.9","6.9","point"
"2024-02-07 06:00:00 PM","12.5","68.5","11.9","6.9","point"
"2024-02-07 07:00:00 PM","12.4","68.6","11.8","6.8","point"
"2024-02-07 08:00:00 PM","12.2","68.7","11.6","6.7","point"
"2024-02-07 09:00:00 PM","12.2","68.9","11.5","6.7","point"
"2024-02-07 10:00:00 PM","12.0","69.2","11.4","6.6","point"
"2024-02-07 11:00:00 PM","11.8","69.6","11.3","6.5","point"
"2024-02-08 12:00:00 AM","11.6","70.0","11.1","6.3","point"
"2024-02-08 01:00:00 AM","11.4","70.4","10.9","6.2","point"
"2024-02-08 02:00:00 AM","11.2","70.9","10.7","6.2","point"
"2024-02-08 03:00:00 AM","11.0","71.1","10.5","6.0","point"
